file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemethod\lab\Client.java,templatemethod.lab.Client,class,4,5,1,4,4,1,0,9,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,26,1,2,0,0,0,6,8,8,1,7,2,0,0,0,19,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\abstractfactory\WindowsFrame.java,abstractfactory.WindowsFrame,class,1,2,1,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\command\Command.java,command.Command,interface,0,1,1,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\chain\Request.java,chain.Request,class,1,7,6,1,7,1,0,0,2,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,31,3,0,0,0,0,6,0,6,1,3,1,0,0,0,14,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\chain\SupervisorAgent.java,chain.SupervisorAgent,class,2,3,1,2,3,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,1,1,0,0,0,0,0,0,0,0,9,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\factorymethod\lab\DebugToolFactory.java,factorymethod.lab.DebugToolFactory,class,4,5,1,4,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,3,0,1,1,0,0,0,11,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\state\HasQuarterState.java,state.HasQuarterState,class,2,3,1,2,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\abstractfactory\lab\PackType.java,abstractfactory.lab.PackType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\command\lab\Scale.java,command.lab.Scale,class,2,2,0,2,3,1,0,2,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\facade\lab\IDatabaseCommander.java,facade.lab.IDatabaseCommander,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
